Name,zcr,flt,lds,alds,strpk,nrg,cntr,flu,rof,entr,danc,bpm,tufre,ptch,tmpo,edmk,edm,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,gen
Bon Jovi - Always (Official Music Video)-9BMwcO6_hyA-recortado.wav,0.053894735872745514,0.134542316198349,-12.219474792480469,0.9447218179702759,1.0923339128494263,0.028228284791111946,1248.1173095703125,0.08533046394586563,1527.1444091796875,7.375010967254639,1.0265334844589233,129.7672119140625,434.193115234375,0.5867729187011719,137.1951219512195,Ab,major,-636.5352,139.68407,-8.218121,7.606262,2.6553614,Rock
Bon Jovi - Bad Medicine-eOUtsybozjg-recortado.wav,0.10310953110456467,0.09309368580579758,-15.959125518798828,0.9858577251434326,1.247499942779541,0.027137391269207,2255.96826171875,0.09956126660108566,2995.778076171875,7.945368766784668,1.7282791137695312,109.06015014648438,456.0430908203125,0.6176543235778809,119.68085106382979,D,minor,-571.55865,82.88402,-14.1251135,18.075869,-2.2551124,Rock
Bon Jovi - Have A Nice Day (Official Music Video)-uCg2BoKiuOM-recortado.wav,0.0793072059750557,0.10975036025047302,-6.3352251052856445,0.9832752346992493,1.0932141542434692,0.03276325762271881,2239.21826171875,0.09711164981126785,2356.906494140625,7.825425624847412,1.2387847900390625,119.48246002197266,453.94061279296875,0.5306652784347534,130.8139534883721,D,major,-580.1057,89.53519,-15.818856,36.19182,9.154366,Rock
Bon Jovi - It's My Life (Official Music Video)-vx2u5uUu3DE-recortado.wav,0.07344887405633926,0.10460512340068817,-6.740320205688477,0.9801241755485535,1.1640461683273315,0.033052973449230194,1805.126220703125,0.09935089945793152,1943.81494140625,7.796725749969482,1.1483259201049805,110.29505157470703,453.94061279296875,0.6025281548500061,119.68085106382979,C#,major,-576.24243,106.50243,-11.983188,21.566175,-1.7209954,Rock
Bon Jovi - Keep The Faith-eZQyVUTcpM4-recortado.wav,0.10004320740699768,0.09249921143054962,-18.49888038635254,0.9765545725822449,0.8876467347145081,0.023685287684202194,2282.721435546875,0.09206592291593552,2953.84375,8.024185180664062,1.2665624618530273,107.88732147216797,453.678466796875,0.585121214389801,117.1875,F,minor,-582.84314,78.18354,-1.190922,18.737282,3.2099059,Rock
Bon Jovi - Livin' On A Prayer (Official Music Video)-lDK9QqIzhwk-recortado.wav,0.07898295670747757,0.11574981361627579,-7.701327323913574,0.9807863831520081,0.8666777014732361,0.026801979169249535,1991.3612060546875,0.08929802477359772,2090.48193359375,7.778494358062744,1.4369816780090332,112.9267578125,453.94061279296875,0.5641787052154541,122.28260869565217,D,minor,-598.2446,96.62842,3.0191133,38.80203,0.5025995,Rock
Bon Jovi - Wanted Dead Or Alive (Official Music Video)-SRvCvsRp5ho-recortado.wav,0.08825579285621643,0.08269934356212616,-8.116180419921875,0.829397439956665,1.0979911088943481,0.016486743465065956,2302.18994140625,0.06370199471712112,2651.70556640625,7.689384937286377,0.9602935910224915,136.35922241210938,454.99066162109375,0.5505920052528381,148.02631578947367,F,minor,-615.81494,93.74465,-14.837498,30.051306,-1.2202141,Rock
Bon Jovi - You Give Love A Bad Name (Official Music Video)-KrZHPOeOxQQ-recortado.wav,0.08692897111177444,0.09703858196735382,-11.257573127746582,0.9828985333442688,1.7115050554275513,0.02541077882051468,2204.443115234375,0.09486573189496994,2552.159423828125,7.8494768142700195,1.4167828559875488,112.99414825439453,453.1546630859375,0.6357002258300781,125.0,C#,major,-578.4099,99.15877,-27.611986,20.718138,-6.5531635,Rock
Boys Are Back In Town Thin Lizzy-hQo1HIcSVtg-recortado.wav,0.07641012221574783,0.11972867697477341,-8.492609977722168,0.9355050325393677,0.9757621884346008,0.022211818024516106,1905.8277587890625,0.08276748657226562,2183.007080078125,7.697362899780273,1.1531689167022705,148.78439331054688,451.5868835449219,0.6185914874076843,165.44117647058823,F#,major,-610.50903,113.886765,-20.575274,29.174553,5.196812,Rock
Café Quijano - La lola (Videoclip)-ccsUjRhpo_U-recortado.wav,0.05113567039370537,0.14959463477134705,-12.495916366577148,0.9407739043235779,0.7628307938575745,0.02919168584048748,1410.1492919921875,0.09017240256071091,1346.926513671875,7.505926132202148,1.4504092931747437,139.6527557373047,454.7279052734375,0.48381727933883667,152.02702702702703,G,minor,-654.8481,127.84495,1.3647453,18.619164,20.941113,Rock
Café Tacvba - Aprovéchate-N9eroXvvCiI-recortado.wav,0.03084009326994419,0.19178296625614166,-14.773387908935547,0.9751214981079102,0.5228710770606995,0.051686808466911316,994.5304565429688,0.10046993941068649,638.089599609375,7.19981050491333,1.683592677116394,104.7146224975586,453.94061279296875,0.4824913740158081,114.79591836734694,C,major,-655.4241,164.94911,-11.594404,39.783398,13.791416,Rock
Café Tacvba - Eres (Video Oficial)-98Akpf1ph2o-recortado.wav,0.0706585943698883,0.1431000828742981,-17.54915428161621,0.7897865772247314,1.1398606300354004,0.03752711042761803,1356.6248779296875,0.0700637474656105,1651.221435546875,7.484310626983643,0.9704391360282898,137.5148468017578,453.94061279296875,0.48477891087532043,100.44642857142857,G,minor,-644.766,99.536835,3.3292608,1.0122696,12.818677,Rock
Café Tacvba - La Ingrata (Video Oficial)-kIr8hsVTCzg-recortado.wav,0.0555572509765625,0.1616244912147522,-12.137382507324219,0.9706188440322876,0.6958339810371399,0.0354083888232708,1411.202880859375,0.08854465186595917,1358.519775390625,7.483163356781006,1.2463853359222412,130.43389892578125,447.1741943359375,0.48173826932907104,144.23076923076923,F,minor,-630.0217,117.513664,16.2877,26.634674,-0.008540937,Rock
Caifanes  - - Afuera  - - Video Original _ 1994 -DNbG5IIA71w-recortado.wav,0.07215916365385056,0.1188831627368927,-15.047008514404297,0.9741947650909424,1.284816861152649,0.028116123750805855,1658.10546875,0.09108180552721024,1827.1856689453125,7.666824817657471,1.3338087797164917,116.24771118164062,434.193115234375,0.583597719669342,125.0,Bb,minor,-603.85803,107.109276,-6.7007275,22.535795,7.993277,Rock
Caifanes - La Negra Tomasa-LHnXeBgV2rQ-recortado.wav,0.04426123946905136,0.21904730796813965,-10.772872924804688,0.947384774684906,0.9723039865493774,0.024343378841876984,916.8740844726562,0.07090473175048828,1027.124755859375,6.926411151885986,1.2450907230377197,162.0778350830078,454.202880859375,0.5370470285415649,175.78125,G,major,-717.9423,141.53867,-4.6725855,16.89172,-0.43424195,Rock
CAN'T STOP LOVING YOU (Lyrics) - VAN HALEN-_grv0bkii8U-recortado.wav,0.09454900771379471,0.09044121950864792,-8.21955394744873,0.9813196063041687,1.6820358037948608,0.029563618823885918,1994.3961181640625,0.10190821439027786,2552.72216796875,7.925607204437256,1.507231593132019,108.42382049560547,451.3260803222656,0.6024359464645386,119.68085106382979,G,major,-575.07056,88.445465,-1.4481585,16.591097,-3.4202743,Rock
Carlos Varela - Una Palabra (Official Video)-0GdlcfQhTIU-recortado.wav,0.020279623568058014,0.41638296842575073,-14.480883598327637,0.10982636362314224,0.832029402256012,0.01238717045634985,462.56463623046875,0.02286255918443203,547.7962646484375,5.226390361785889,0.8148266077041626,137.9595489501953,453.678466796875,0.5038724541664124,152.02702702702703,A,major,-957.4324,242.19237,58.405323,5.3715596,-7.3802342,Rock
Catupecu Machu - Y lo que quiero es que pises sin el suelo-_WGxob8GZl8-recortado.wav,0.09488261491060257,0.10929372906684875,-7.361537933349609,0.9661375880241394,1.11240553855896,0.031232696026563644,1851.052734375,0.10049080848693848,2590.71240234375,7.893757343292236,1.147526741027832,125.75011444091797,454.7279052734375,0.5977540612220764,137.1951219512195,D,major,-591.07196,93.44201,4.4474587,17.401848,3.5605812,Rock
Celelalte Cuvinte - Dacă vrei-vxDFtFGUYag-recortado.wav,0.049369119107723236,0.20574960112571716,-16.309926986694336,0.8464894890785217,0.8142892718315125,0.017040183767676353,1212.31494140625,0.04062208905816078,1373.5985107421875,6.8163557052612305,0.9548038840293884,111.68663024902344,431.9417724609375,0.47882315516471863,125.0,B,major,-703.9225,143.15097,-13.9772215,34.614952,2.2350352,Rock
Celelalte Cuvinte - Iarba prin Par-zzveFI0VML4-recortado.wav,0.05007067695260048,0.17705978453159332,-17.331356048583984,0.7579023838043213,0.5965866446495056,0.017794564366340637,1370.359619140625,0.059085357934236526,1411.02099609375,7.183909893035889,1.0546931028366089,136.40115356445312,442.80462646484375,0.5043419599533081,152.02702702702703,Bb,major,-699.0054,146.14462,-18.1252,37.972885,9.242658,Rock
Cinderella - Don't Know What You Got (Till It's Gone) (Stereo Version)-i28UEoLXVFQ-recortado.wav,0.07054311782121658,0.12054041028022766,-18.461938858032227,0.9750136137008667,0.7958765029907227,0.027959443628787994,1521.8729248046875,0.07751762121915817,1967.900390625,7.671226501464844,1.1714565753936768,121.15753173828125,451.8477783203125,0.611251711845398,65.40697674418605,G,major,-601.6357,120.52817,-2.0694752,19.255253,4.7723036,Rock
Cinderella - Gypsy Road (Official Video)-6j7E7pvLxmI-recortado.wav,0.16136308014392853,0.07943132519721985,-14.88994312286377,0.9741921424865723,1.0900394916534424,0.020524276420474052,3123.623291015625,0.08475620299577713,5214.22314453125,8.078990936279297,1.3695663213729858,121.3841323852539,434.193115234375,0.6652845144271851,130.8139534883721,C#,major,-572.79877,55.723427,-5.846388,25.215063,-5.0670943,Rock
Cinderella - Heartbreak Station (Official Video)-Uuegke22rdA-recortado.wav,0.08163417130708694,0.07864066958427429,-15.949173927307129,0.9257616400718689,0.7294719815254211,0.023055464029312134,1862.895751953125,0.07263697683811188,2297.800048828125,7.721432685852051,1.3618370294570923,105.04845428466797,434.193115234375,0.6190094351768494,114.79591836734694,F#,major,-598.2069,112.809685,-17.117022,21.753145,1.7062347,Rock
Coldplay - Clocks (Official Video)-d020hcWA_Wg-recortado.wav,0.027045510709285736,0.19889400899410248,-8.754985809326172,0.9786728620529175,1.1762292385101318,0.044484641402959824,593.8865966796875,0.08353778719902039,576.532958984375,6.719477653503418,1.2338896989822388,120.2570571899414,453.94061279296875,0.584571123123169,130.8139534883721,C#,major,-668.1296,192.72499,16.56293,13.991208,-1.3809112,Rock
Coldplay - In My Place (Official Video)-gnIZ7RMuLpU-recortado.wav,0.053774747997522354,0.11837951838970184,-8.689922332763672,0.973958432674408,1.3494477272033691,0.034363921731710434,1525.887451171875,0.07610214501619339,1310.877685546875,7.58180570602417,1.0483953952789307,132.99075317382812,451.0654602050781,0.5428847670555115,72.11538461538461,C,major,-595.938,125.23933,-9.780576,31.005993,4.109451,Rock
como te deseo mana-3nB7uaqM0t0-recortado.wav,0.05497603118419647,0.2037861943244934,-8.999414443969727,0.9505881071090698,0.9523046016693115,0.027465956285595894,1348.4114990234375,0.08928091078996658,1391.0474853515625,7.383513927459717,1.23235023021698,166.18775939941406,434.193115234375,0.5248298645019531,122.28260869565217,F#,major,-664.3367,132.61548,-18.71445,34.73256,-19.076231,Rock
